artist,artist_id,followers,genres,popularity
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,11432404,"[u'canadian pop', u'pop', u'rap']",88
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,7804446,"[u'edm', u'electropop', u'pop', u'tropical house']",84
DJ Snake,540vIaP2JwjQb9dm3aArA4,2982455,"[u'dance pop', u'edm', u'electronic trap', u'pop', u'tropical house']",77
Clean Bandit,6MDME20pz9RveH9rEXvrOM,1222093,"[u'dance pop', u'edm', u'pop', u'post-teen pop', u'tropical house', u'uk funky']",83
Drake,3TVXtAsR1Inumwj472S9r4,23113711,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",100
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,14637056,"[u'dance pop', u'pop', u'post-teen pop']",85
Maroon 5,04gDigrS5kc9YWfZHwBETP,12075053,"[u'dance pop', u'pop']",87
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,3541974,"[u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",82
Shakira,0EmeFodog0BfCgMzAIvKQp,12384042,"[u'colombian pop', u'dance pop', u'latin', u'latin pop', u'mexican pop', u'pop']",82
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,4999356,"[u'dance pop', u'pop', u'post-teen pop']",80
James Arthur,4IWBUUAFIplrNtaOHcJPRM,2176073,"[u'dance pop', u'neo mellow', u'pop', u'post-teen pop', u'talent show']",78
Migos,6oMuImdp5ZcFhWP0ESe6mG,6344897,"[u'pop', u'rap', u'trap music']",85
Major Lazer,738wLrAtLtCtFOLvQBXOXp,4505692,"[u'dance pop', u'edm', u'electro house', u'moombahton', u'pop', u'tropical house']",80
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,6552444,"[u'big room', u'edm', u'pop', u'progressive house', u'tropical house']",83
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,16498006,"[u'dance pop', u'pop', u'post-teen pop']",88
Starley,02A3cEvlLLCbIMVDrK2GHV,47169,"[u'aussietronica', u'tropical house']",63
Justin Timberlake,31TPClRtHm23RisEBtV3X7,6607728,"[u'dance pop', u'pop']",81
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,10323916,"[u'canadian pop', u'pop', u'viral pop']",88
