track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
5aAx2yezTd8zXrkmtKl66Z,0.594,0.134,186.054,0.282,0.165,3.49e-06,0.681,7,230453.0,-7.028,1,0.535
7BKLCZ1jbUBVqRi2FVlTVw,0.524,0.111,95.01,0.0338,0.414,0.0,0.748,8,244960.0,-5.599,1,0.661
4pdPtRcBmOSQDlJ3Fk945m,0.718,0.122,199.864,0.0576,0.0784,1.02e-05,0.476,8,205947.0,-5.309,1,0.142
5knuzwU65gJK7IF5yJsuaW,0.763,0.18,101.965,0.0523,0.406,0.0,0.72,9,251088.0,-4.068,0,0.742
1xznGGDReH1oQq0xzbwXa3,0.619,0.351,103.989,0.0532,0.00784,0.00423,0.791,1,173987.0,-5.886,1,0.371
343YBumqHu19cGoGARUTsd,0.488,0.196,133.987,0.42,0.108,0.0,0.927,9,210937.0,-9.433,0,0.605
6b8Be6ljOzmkOmFslEb23P,0.803,0.153,106.97,0.0797,0.034,0.0,0.818,1,225983.0,-4.282,1,0.632
5MFzQMkrl1FOOng9tq6R9r,0.623,0.0975,100.048,0.08,0.338,0.0,0.783,7,214480.0,-6.126,1,0.447
6fujklziTHa8uoM5OQSfIo,0.646,0.14,145.931,0.0614,0.13,0.0,0.794,0,291893.0,-6.235,1,0.322
5GXAXm5YOmYT0kL5jHvYBt,0.813,0.102,92.994,0.128,0.427,0.0,0.768,0,269187.0,-5.94,0,0.579
6mICuAdrwEjh6Y6lroV2Kg,0.773,0.159,102.034,0.0776,0.187,3.05e-05,0.852,8,195840.0,-2.921,0,0.907
3NdDpSvN911VPGivFlV5d0,0.451,0.325,117.973,0.0585,0.0631,1.3e-05,0.735,0,245200.0,-8.374,1,0.0862
5uCax9HTNlzGybIStD3vDh,0.557,0.0902,85.043,0.059,0.695,0.0,0.358,10,211467.0,-7.398,1,0.494
4Km5HrUvYTaSUfiSGPJeQR,0.665,0.123,127.076,0.244,0.061,0.0,0.927,11,343150.0,-5.313,1,0.175
6DNtNfH8hXkqOX1sjqmI7p,0.798,0.156,92.943,0.0432,0.0736,0.0,0.608,6,185352.0,-5.092,0,0.501
04DwTuZ2VBdJCCC5TROn7L,0.485,0.337,133.889,0.0406,0.0592,0.0,0.49,4,195840.0,-6.237,0,0.196
4pLwZjInHj3SimIyN9SnOz,0.738,0.292,159.145,0.247,0.0408,0.0,0.648,6,226160.0,-5.883,0,0.603
78rIJddV4X0HkNAInEcYde,0.843,0.181,105.003,0.0367,0.0623,0.000752,0.676,0,222041.0,-4.068,1,0.718
6JV2JOEocMgcZxYSZelKcc,0.83,0.191,113.03,0.0749,0.0123,0.0,0.667,0,236002.0,-5.715,1,0.701
0QsvXIfqM0zZoerQfsI9lm,0.859,0.137,159.797,0.197,0.16,0.00466,0.542,11,208053.0,-5.651,1,0.403
4Hf7WnR761jpxPr5D46Bcd,0.803,0.114,166.018,0.246,0.123,0.0,0.624,10,187973.0,-4.105,0,0.821
3EmmCZoqpWOTY1g2GBwJoR,0.932,0.0574,114.991,0.0824,0.00383,1.5e-06,0.647,11,198774.0,-3.515,1,0.374
1vvNmPOiUuyCbgWmtc6yfm,0.913,0.161,119.989,0.0427,0.0935,3.72e-05,0.819,4,219160.0,-3.059,0,0.536
1qOLh0tI7trd1zdDKxYZTe,0.633,0.102,99.721,0.126,0.371,0.0,0.636,4,181880.0,-4.23,1,0.512
1PSBzsahR2AKwLJgx8ehBj,0.69,0.287,137.817,0.132,0.21,0.0,0.675,2,239293.0,-4.761,1,0.272
6i0V12jOa3mr6uu4WYhUBr,0.396,0.105,90.024,0.0286,0.0841,3.58e-05,0.732,4,195920.0,-9.348,0,0.548
27SdWb2rFzO6GWiYDBTD9j,0.698,0.0907,89.976,0.105,0.0472,0.00143,0.628,6,211667.0,-5.608,0,0.732
