track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
14msK75pk3pA33pzPVNtBF,0.321,0.0884,70.142,0.323,0.578,0.0,0.725,1,178640.0,-10.744,0,0.319
6MWtB6iiXyIwun0YzU6DFP,0.539,0.101,99.947,0.178,0.163,2.1e-06,0.833,11,149520.0,-7.399,0,0.385
3KkXRkHbMCARz0aVfEt68P,0.479,0.0703,89.911,0.0466,0.556,0.0,0.76,2,158040.0,-5.574,1,0.913
2JvzF1RMd7lE3KmFlsyZD8,0.364,0.271,123.984,0.276,0.149,0.0,0.837,8,213594.0,-11.713,1,0.463
4NzMOnvSJVNKF7nw5NkXIP,0.389,0.106,120.046,0.332,0.74,0.162,0.905,8,193143.0,-14.505,1,0.196
5p7ujcrUXASCNwRaWNHR1C,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,0.752,6,201661.0,-7.05,1,0.533
6Qs4SXO9dwPj5GKvVOv8Ki,0.52,0.222,102.998,0.0656,0.45,1.97e-06,0.741,8,171030.0,-7.513,1,0.347
2rPE9A1vEgShuZxxzR2tZH,0.647,0.102,106.96,0.0658,0.28,0.0,0.724,1,207333.0,-5.642,1,0.435
5iwz1NiezX7WWjnCgY5TH4,0.773,0.143,126.899,0.0524,0.323,0.0,0.826,11,238200.0,-4.218,0,0.761
25sgk305KZfyuqVBQIahim,0.704,0.166,133.002,0.0476,0.0691,0.0,0.719,1,187436.0,-4.724,1,0.628
2VxeLyX666F8uXCJ0dZF8B,0.385,0.231,95.799,0.0308,0.371,0.0,0.572,7,215733.0,-6.362,1,0.323
4w8niZpiMy6qz1mntFA5uM,0.798,0.0618,95.948,0.229,0.153,3.33e-06,0.841,1,212500.0,-4.206,0,0.591
116H0KvKr2Zl4RPuVBruDO,0.539,0.099,97.062,0.0621,0.0141,0.000496,0.817,6,210368.0,-6.349,0,0.158
5W83ErFkO3aKAIS1WMi6u0,0.803,0.136,91.987,0.126,0.602,0.00853,0.807,11,258800.0,-4.156,1,0.706
1rqqCSm0Qe4I9rUvWncaom,0.904,0.064,82.014,0.0618,0.193,0.0,0.579,5,190947.0,-2.729,1,0.681
6FyRXC8tJUh863JCkyWqtk,0.709,0.0676,171.993,0.336,0.323,0.0,0.767,1,258639.0,-4.47,1,0.72
2dpaYNEQHiRxtZbfNsse99,0.792,0.167,100.015,0.0452,0.191,0.0,0.687,5,214290.0,-2.749,1,0.671
2IRZnDFmlqMuOrYOLnZZyc,0.496,0.252,86.003,0.0905,0.259,0.0,0.889,4,180522.0,-6.365,0,0.544
2xLMifQCjDGFmkHkpNLD9h,0.73,0.124,155.008,0.222,0.00513,0.0,0.834,8,312820.0,-3.714,1,0.446
5itOtNx0WxtJmi1TQ3RuRd,0.887,0.0811,122.015,0.0361,0.016,0.000503,0.807,1,229184.0,-4.311,0,0.606
3Ol2xnObFdKV9pmRD2t9x8,0.587,0.148,96.057,0.0413,0.407,0.0,0.791,3,179449.0,-5.075,0,0.536
